NAME_name2,Buffer_Size,Metrics,KdPAR,StreamOrde,CLASS,Interface,Kd490
Aropaoanui River_Aropaoanui River,1000,valid_days_pc,28.403177211722817,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,var,0.023750023074010314,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,mean,0.20682041523412314,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,median,0.17044995725154877,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,percentile5,0.08551723659038543,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,percentile10,0.0980872243642807,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,percentile90,0.33385376334190364,5,4. Beach stream,Non-tidal river mouths,NA
Aropaoanui River_Aropaoanui River,1000,percentile95,0.45569903850555415,5,4. Beach stream,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,valid_days_pc,29.279649411120243,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,var,0.2628513425074155,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,mean,0.7582827804869754,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,median,0.6144998669624329,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,percentile5,0.20008605420589445,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,percentile10,0.22682119309902193,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,percentile90,1.4938988924026488,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashburton River_Ashburton River/Hakatere,1000,percentile95,1.7037192344665524,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,valid_days_pc,28.047110380717612,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,var,0.1349200641137246,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,mean,0.4489960174760199,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,median,0.3029944896697998,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,percentile5,0.16225627921521665,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,percentile10,0.18166623413562777,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,percentile90,0.9557039946317671,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Ashley River_Ashley River/Rakahuri,1000,percentile95,1.205121320486068,7,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awakino River_Awakino River,1000,valid_days_pc,18.0772391125719,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,var,0.10285763949990948,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,mean,0.3900889929158218,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,median,0.28770285844802856,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,percentile5,0.14009728729724882,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,percentile10,0.1589840993285179,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,percentile90,0.7546147406101228,6,6. Tidal river mouth,Tidal river mouths,NA
Awakino River_Awakino River,1000,percentile95,1.1159811615943909,6,6. Tidal river mouth,Tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,valid_days_pc,29.77266502328129,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,var,0.21189368370715722,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,mean,0.5046477119207876,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,median,0.27169379591941833,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,percentile5,0.13941876888275148,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,percentile10,0.1556093603372574,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,percentile90,1.2160912036895752,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awatere River_Awatere River (Marlborough),1000,percentile95,1.520646393299103,6,3. Hāpua-type lagoon,Non-tidal river mouths,NA
Awhea River_Awhea River,1000,valid_days_pc,28.567515749109834,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,var,0.03961032486634371,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,mean,0.18697493554611735,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,median,0.13816656172275543,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,percentile5,0.08466226011514665,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,percentile10,0.09624946862459184,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,percentile90,0.25451043248176586,5,6. Tidal river mouth,Tidal river mouths,NA
Awhea River_Awhea River,1000,percentile95,0.4525924026966093,5,6. Tidal river mouth,Tidal river mouths,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,valid_days_pc,5.532730758696248,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,var,0.09028852351390201,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,mean,0.20830817195116588,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,median,0.13865162432193756,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,percentile5,0.06670447103679181,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,percentile10,0.07779495492577553,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,percentile90,0.3264234989881516,5,9. Deep drowned valley,Fjords,NA
Big River (Lake Hakapoua)_Big River (Southland),1000,percentile95,0.4284563675522801,5,9. Deep drowned valley,Fjords,NA
Big River_Big River (Tasman),1000,valid_days_pc,0.13694878115584772,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,var,0.012415629071891043,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,mean,0.38437772393226627,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,median,0.3491615056991577,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,percentile5,0.29245947003364564,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,percentile10,0.3043795764446259,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,percentile90,0.49545837640762325,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Big River_Big River (Tasman),1000,percentile95,0.5343272745609283,5,5. Freshwater river mouth,Non-tidal river mouths,NA
Buller River_Buller River,1000,valid_days_pc,29.96439331689948,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,var,0.21956477704017885,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,mean,0.6274691471520137,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,median,0.467711366713047,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,percentile5,0.2013853508979082,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,percentile10,0.2383869305253029,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,percentile90,1.2879641175270082,7,6. Tidal river mouth,Tidal river mouths,NA
Buller River_Buller River,1000,percentile95,1.5804100513458228,7,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,valid_days_pc,26.21199671322925,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,var,0.06296803238046364,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,mean,0.2859354891241095,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,median,0.20649339258670807,5,6. Tidal river mouth,Tidal river mouths,NA
Cascade/ Martyr River_Cascade River,1000,percentile5,0.10716914981603622,5,6. Tidal river mouth,Tidal river mouths,NA
